Week #,Year,Without Bonus,% Without Bonus,With Bonus,% With Bonus
0,0,100000,100,100000,100
1,0.01923076923,99989,99.989,99992,99.992
2,0.03846153846,99978,99.978,99985,99.985
3,0.05769230769,99971,99.971,99971,99.971
4,0.07692307692,99962,99.962,99961,99.961
5,0.09615384615,99948,99.948,99947,99.947
6,0.1153846154,99935,99.935,99935,99.935
7,0.1346153846,99927,99.927,99926,99.926
8,0.1538461538,99917,99.917,99914,99.914
9,0.1730769231,99905,99.905,99903,99.903
10,0.1923076923,99893,99.893,99895,99.895
11,0.2115384615,99878,99.878,99880,99.88
12,0.2307692308,99861,99.861,99863,99.863
13,0.25,99849,99.849,99847,99.847
14,0.2692307692,99834,99.834,99834,99.834
15,0.2884615385,99823,99.823,99826,99.826
16,0.3076923077,99809,99.809,99817,99.817
17,0.3269230769,99795,99.795,99809,99.809
18,0.3461538462,99780,99.78,99801,99.801
19,0.3653846154,99768,99.768,99794,99.794
20,0.3846153846,99755,99.755,99783,99.783
21,0.4038461538,99749,99.749,99769,99.769
22,0.4230769231,99737,99.737,99759,99.759
23,0.4423076923,99724,99.724,99749,99.749
24,0.4615384615,99714,99.714,99739,99.739
25,0.4807692308,99704,99.704,99732,99.732
26,0.5,99691,99.691,99721,99.721
27,0.5192307692,99674,99.674,99709,99.709
28,0.5384615385,99662,99.662,99704,99.704
29,0.5576923077,99648,99.648,99693,99.693
30,0.5769230769,99639,99.639,99678,99.678
31,0.5961538462,99628,99.628,99660,99.66
32,0.6153846154,99618,99.618,99648,99.648
33,0.6346153846,99612,99.612,99640,99.64
34,0.6538461538,99598,99.598,99629,99.629
35,0.6730769231,99589,99.589,99618,99.618
36,0.6923076923,99577,99.577,99608,99.608
37,0.7115384615,99568,99.568,99605,99.605
38,0.7307692308,99556,99.556,99594,99.594
39,0.75,99548,99.548,99584,99.584
40,0.7692307692,99539,99.539,99577,99.577
41,0.7884615385,99525,99.525,99573,99.573
42,0.8076923077,99507,99.507,99556,99.556
43,0.8269230769,99500,99.5,99549,99.549
44,0.8461538462,99493,99.493,99536,99.536
45,0.8653846154,99483,99.483,99529,99.529
46,0.8846153846,99473,99.473,99510,99.51
47,0.9038461538,99463,99.463,99493,99.493
48,0.9230769231,99452,99.452,99486,99.486
49,0.9423076923,99444,99.444,99478,99.478
50,0.9615384615,99431,99.431,99464,99.464
51,0.9807692308,99424,99.424,99453,99.453
52,1,99420,99.42,99443,99.443
53,1.019230769,99408,99.408,99434,99.434
54,1.038461538,99399,99.399,99426,99.426
55,1.057692308,99390,99.39,99416,99.416
56,1.076923077,99379,99.379,99403,99.403
57,1.096153846,99366,99.366,99391,99.391
58,1.115384615,99360,99.36,99383,99.383
59,1.134615385,99350,99.35,99377,99.377
60,1.153846154,99344,99.344,99370,99.37
61,1.173076923,99337,99.337,99359,99.359
62,1.192307692,99330,99.33,99352,99.352
63,1.211538462,99324,99.324,99340,99.34
64,1.230769231,99317,99.317,99335,99.335
65,1.25,99307,99.307,99330,99.33
66,1.269230769,99301,99.301,99318,99.318
67,1.288461538,99290,99.29,99304,99.304
68,1.307692308,99281,99.281,99289,99.289
69,1.326923077,99277,99.277,99277,99.277
70,1.346153846,99266,99.266,99263,99.263
71,1.365384615,99257,99.257,99257,99.257
72,1.384615385,99247,99.247,99247,99.247
73,1.403846154,99240,99.24,99234,99.234
74,1.423076923,99230,99.23,99227,99.227
75,1.442307692,99220,99.22,99217,99.217
76,1.461538462,99205,99.205,99205,99.205
77,1.480769231,99196,99.196,99198,99.198
78,1.5,99180,99.18,99187,99.187
79,1.519230769,99167,99.167,99179,99.179
80,1.538461538,99155,99.155,99170,99.17
81,1.557692308,99148,99.148,99165,99.165
82,1.576923077,99137,99.137,99155,99.155
83,1.596153846,99122,99.122,99146,99.146
84,1.615384615,99112,99.112,99139,99.139
85,1.634615385,99099,99.099,99130,99.13
86,1.653846154,99087,99.087,99123,99.123
87,1.673076923,99082,99.082,99115,99.115
88,1.692307692,99074,99.074,99109,99.109
89,1.711538462,99065,99.065,99096,99.096
90,1.730769231,99051,99.051,99086,99.086
91,1.75,99040,99.04,99077,99.077
92,1.769230769,99029,99.029,99063,99.063
93,1.788461538,99022,99.022,99054,99.054
94,1.807692308,99012,99.012,99046,99.046
95,1.826923077,99006,99.006,99039,99.039
96,1.846153846,98989,98.989,99033,99.033
97,1.865384615,98981,98.981,99022,99.022
98,1.884615385,98972,98.972,99015,99.015
99,1.903846154,98956,98.956,99001,99.001
100,1.923076923,98944,98.944,98991,98.991
101,1.942307692,98935,98.935,98978,98.978
102,1.961538462,98930,98.93,98969,98.969
103,1.980769231,98923,98.923,98955,98.955
104,2,98914,98.914,98948,98.948
105,2.019230769,98902,98.902,98942,98.942
106,2.038461538,98892,98.892,98937,98.937
107,2.057692308,98880,98.88,98925,98.925
108,2.076923077,98873,98.873,98918,98.918
109,2.096153846,98863,98.863,98906,98.906
110,2.115384615,98853,98.853,98895,98.895
111,2.134615385,98844,98.844,98885,98.885
112,2.153846154,98832,98.832,98873,98.873
113,2.173076923,98824,98.824,98865,98.865
114,2.192307692,98806,98.806,98857,98.857
115,2.211538462,98801,98.801,98850,98.85
116,2.230769231,98788,98.788,98842,98.842
117,2.25,98781,98.781,98831,98.831
118,2.269230769,98778,98.778,98817,98.817
119,2.288461538,98765,98.765,98808,98.808
120,2.307692308,98757,98.757,98798,98.798
121,2.326923077,98748,98.748,98783,98.783
122,2.346153846,98740,98.74,98771,98.771
123,2.365384615,98733,98.733,98762,98.762
124,2.384615385,98724,98.724,98753,98.753
125,2.403846154,98717,98.717,98730,98.73
126,2.423076923,98705,98.705,98721,98.721
127,2.442307692,98696,98.696,98709,98.709
128,2.461538462,98685,98.685,98701,98.701
129,2.480769231,98683,98.683,98690,98.69
130,2.5,98675,98.675,98683,98.683
131,2.519230769,98663,98.663,98674,98.674
132,2.538461538,98654,98.654,98665,98.665
133,2.557692308,98644,98.644,98661,98.661
134,2.576923077,98641,98.641,98653,98.653
135,2.596153846,98630,98.63,98638,98.638
136,2.615384615,98624,98.624,98630,98.63
137,2.634615385,98615,98.615,98610,98.61
138,2.653846154,98602,98.602,98600,98.6
139,2.673076923,98596,98.596,98592,98.592
140,2.692307692,98588,98.588,98585,98.585
141,2.711538462,98576,98.576,98574,98.574
142,2.730769231,98561,98.561,98565,98.565
143,2.75,98556,98.556,98559,98.559
144,2.769230769,98544,98.544,98549,98.549
145,2.788461538,98533,98.533,98541,98.541
146,2.807692308,98525,98.525,98533,98.533
147,2.826923077,98509,98.509,98518,98.518
148,2.846153846,98497,98.497,98507,98.507
149,2.865384615,98487,98.487,98500,98.5
150,2.884615385,98482,98.482,98491,98.491
151,2.903846154,98470,98.47,98483,98.483
152,2.923076923,98457,98.457,98479,98.479
153,2.942307692,98443,98.443,98466,98.466
154,2.961538462,98436,98.436,98464,98.464
155,2.980769231,98426,98.426,98453,98.453
156,3,98415,98.415,98443,98.443
157,3.019230769,98402,98.402,98434,98.434
158,3.038461538,98392,98.392,98426,98.426
159,3.057692308,98380,98.38,98415,98.415
160,3.076923077,98370,98.37,98403,98.403
161,3.096153846,98355,98.355,98390,98.39
162,3.115384615,98350,98.35,98380,98.38
163,3.134615385,98339,98.339,98372,98.372
164,3.153846154,98322,98.322,98365,98.365
165,3.173076923,98318,98.318,98356,98.356
166,3.192307692,98306,98.306,98344,98.344
167,3.211538462,98295,98.295,98337,98.337
168,3.230769231,98292,98.292,98325,98.325
169,3.25,98285,98.285,98311,98.311
170,3.269230769,98270,98.27,98302,98.302
171,3.288461538,98262,98.262,98290,98.29
172,3.307692308,98256,98.256,98277,98.277
173,3.326923077,98240,98.24,98269,98.269
174,3.346153846,98232,98.232,98257,98.257
175,3.365384615,98224,98.224,98250,98.25
176,3.384615385,98221,98.221,98239,98.239
177,3.403846154,98212,98.212,98233,98.233
178,3.423076923,98197,98.197,98218,98.218
179,3.442307692,98190,98.19,98204,98.204
180,3.461538462,98178,98.178,98193,98.193
181,3.480769231,98172,98.172,98188,98.188
182,3.5,98163,98.163,98173,98.173
183,3.519230769,98157,98.157,98160,98.16
184,3.538461538,98147,98.147,98149,98.149
185,3.557692308,98136,98.136,98142,98.142
186,3.576923077,98125,98.125,98131,98.131
187,3.596153846,98113,98.113,98117,98.117
188,3.615384615,98106,98.106,98102,98.102
189,3.634615385,98101,98.101,98092,98.092
190,3.653846154,98090,98.09,98077,98.077
191,3.673076923,98080,98.08,98064,98.064
192,3.692307692,98067,98.067,98050,98.05
193,3.711538462,98059,98.059,98039,98.039
194,3.730769231,98050,98.05,98028,98.028
195,3.75,98038,98.038,98019,98.019
196,3.769230769,98026,98.026,98008,98.008
197,3.788461538,98021,98.021,97996,97.996
198,3.807692308,98012,98.012,97991,97.991
199,3.826923077,98002,98.002,97981,97.981
200,3.846153846,97994,97.994,97973,97.973
201,3.865384615,97978,97.978,97962,97.962
202,3.884615385,97970,97.97,97951,97.951
203,3.903846154,97957,97.957,97938,97.938
204,3.923076923,97946,97.946,97923,97.923
205,3.942307692,97935,97.935,97912,97.912
206,3.961538462,97918,97.918,97901,97.901
207,3.980769231,97908,97.908,97889,97.889
208,4,97894,97.894,97874,97.874
209,4.019230769,97886,97.886,97866,97.866
210,4.038461538,97879,97.879,97858,97.858
211,4.057692308,97872,97.872,97844,97.844
212,4.076923077,97859,97.859,97831,97.831
213,4.096153846,97847,97.847,97824,97.824
214,4.115384615,97842,97.842,97807,97.807
215,4.134615385,97834,97.834,97799,97.799
216,4.153846154,97822,97.822,97789,97.789
217,4.173076923,97816,97.816,97781,97.781
218,4.192307692,97808,97.808,97772,97.772
219,4.211538462,97799,97.799,97764,97.764
220,4.230769231,97790,97.79,97753,97.753
221,4.25,97775,97.775,97743,97.743
222,4.269230769,97764,97.764,97731,97.731
223,4.288461538,97754,97.754,97718,97.718
224,4.307692308,97749,97.749,97707,97.707
225,4.326923077,97739,97.739,97698,97.698
226,4.346153846,97730,97.73,97686,97.686
227,4.365384615,97723,97.723,97677,97.677
228,4.384615385,97715,97.715,97667,97.667
229,4.403846154,97701,97.701,97652,97.652
230,4.423076923,97688,97.688,97640,97.64
231,4.442307692,97680,97.68,97635,97.635
232,4.461538462,97671,97.671,97624,97.624
233,4.480769231,97660,97.66,97612,97.612
234,4.5,97649,97.649,97598,97.598
235,4.519230769,97638,97.638,97592,97.592
236,4.538461538,97629,97.629,97580,97.58
237,4.557692308,97618,97.618,97564,97.564
238,4.576923077,97607,97.607,97549,97.549
239,4.596153846,97599,97.599,97535,97.535
240,4.615384615,97591,97.591,97520,97.52
241,4.634615385,97582,97.582,97516,97.516
242,4.653846154,97571,97.571,97503,97.503
243,4.673076923,97557,97.557,97495,97.495
244,4.692307692,97548,97.548,97483,97.483
245,4.711538462,97538,97.538,97468,97.468
246,4.730769231,97530,97.53,97458,97.458
247,4.75,97520,97.52,97442,97.442
248,4.769230769,97514,97.514,97429,97.429
249,4.788461538,97500,97.5,97418,97.418
250,4.807692308,97492,97.492,97406,97.406
251,4.826923077,97480,97.48,97390,97.39
252,4.846153846,97473,97.473,97383,97.383
253,4.865384615,97467,97.467,97374,97.374
254,4.884615385,97461,97.461,97369,97.369
255,4.903846154,97451,97.451,97347,97.347
256,4.923076923,97432,97.432,97332,97.332
257,4.942307692,97421,97.421,97324,97.324
258,4.961538462,97409,97.409,97310,97.31
259,4.980769231,97398,97.398,97287,97.287
260,5,97387,97.387,97276,97.276
261,5.019230769,97377,97.377,97259,97.259
262,5.038461538,97367,97.367,97243,97.243
263,5.057692308,97358,97.358,97238,97.238
264,5.076923077,97344,97.344,97223,97.223
265,5.096153846,97328,97.328,97202,97.202
266,5.115384615,97317,97.317,97186,97.186
267,5.134615385,97302,97.302,97168,97.168
268,5.153846154,97293,97.293,97160,97.16
269,5.173076923,97280,97.28,97150,97.15
270,5.192307692,97270,97.27,97140,97.14
271,5.211538462,97259,97.259,97130,97.13
272,5.230769231,97250,97.25,97116,97.116
273,5.25,97235,97.235,97099,97.099
274,5.269230769,97222,97.222,97079,97.079
275,5.288461538,97210,97.21,97069,97.069
276,5.307692308,97201,97.201,97057,97.057
277,5.326923077,97189,97.189,97039,97.039
278,5.346153846,97176,97.176,97019,97.019
279,5.365384615,97167,97.167,97007,97.007
280,5.384615385,97156,97.156,96992,96.992
281,5.403846154,97143,97.143,96978,96.978
282,5.423076923,97123,97.123,96966,96.966
283,5.442307692,97112,97.112,96950,96.95
284,5.461538462,97097,97.097,96943,96.943
285,5.480769231,97084,97.084,96928,96.928
286,5.5,97074,97.074,96917,96.917
287,5.519230769,97061,97.061,96901,96.901
288,5.538461538,97046,97.046,96890,96.89
289,5.557692308,97032,97.032,96874,96.874
290,5.576923077,97022,97.022,96858,96.858
291,5.596153846,97007,97.007,96843,96.843
292,5.615384615,96993,96.993,96828,96.828
293,5.634615385,96975,96.975,96804,96.804
294,5.653846154,96958,96.958,96794,96.794
295,5.673076923,96935,96.935,96775,96.775
296,5.692307692,96918,96.918,96754,96.754
297,5.711538462,96900,96.9,96734,96.734
298,5.730769231,96883,96.883,96708,96.708
299,5.75,96867,96.867,96689,96.689
300,5.769230769,96855,96.855,96671,96.671
301,5.788461538,96841,96.841,96654,96.654
302,5.807692308,96828,96.828,96633,96.633
303,5.826923077,96820,96.82,96620,96.62
304,5.846153846,96805,96.805,96603,96.603
305,5.865384615,96791,96.791,96583,96.583
306,5.884615385,96778,96.778,96557,96.557
307,5.903846154,96766,96.766,96535,96.535
308,5.923076923,96748,96.748,96509,96.509
309,5.942307692,96732,96.732,96476,96.476
310,5.961538462,96719,96.719,96441,96.441
311,5.980769231,96701,96.701,96426,96.426
312,6,96691,96.691,96399,96.399
313,6.019230769,96670,96.67,96375,96.375
314,6.038461538,96653,96.653,96352,96.352
315,6.057692308,96634,96.634,96316,96.316
316,6.076923077,96624,96.624,96297,96.297
317,6.096153846,96611,96.611,96254,96.254
318,6.115384615,96594,96.594,96225,96.225
319,6.134615385,96574,96.574,96193,96.193
320,6.153846154,96553,96.553,96166,96.166
321,6.173076923,96533,96.533,96124,96.124
322,6.192307692,96517,96.517,96095,96.095
323,6.211538462,96500,96.5,96038,96.038
324,6.230769231,96478,96.478,95990,95.99
325,6.25,96464,96.464,95943,95.943
326,6.269230769,96447,96.447,95899,95.899
327,6.288461538,96421,96.421,95860,95.86
328,6.307692308,96407,96.407,95808,95.808
329,6.326923077,96388,96.388,95779,95.779
330,6.346153846,96368,96.368,95718,95.718
331,6.365384615,96344,96.344,95683,95.683
332,6.384615385,96318,96.318,95614,95.614
333,6.403846154,96289,96.289,95581,95.581
334,6.423076923,96265,96.265,95529,95.529
335,6.442307692,96242,96.242,95481,95.481
336,6.461538462,96213,96.213,95428,95.428
337,6.480769231,96187,96.187,95356,95.356
338,6.5,96159,96.159,95308,95.308
339,6.519230769,96133,96.133,95247,95.247
340,6.538461538,96099,96.099,95193,95.193
341,6.557692308,96074,96.074,95108,95.108
342,6.576923077,96044,96.044,95068,95.068
343,6.596153846,96013,96.013,94983,94.983
344,6.615384615,95968,95.968,94938,94.938
345,6.634615385,95937,95.937,94861,94.861
346,6.653846154,95904,95.904,94799,94.799
347,6.673076923,95870,95.87,94727,94.727
348,6.692307692,95831,95.831,94677,94.677
349,6.711538462,95779,95.779,94610,94.61
350,6.730769231,95744,95.744,94548,94.548
351,6.75,95697,95.697,94497,94.497
352,6.769230769,95654,95.654,94424,94.424
353,6.788461538,95595,95.595,94362,94.362
354,6.807692308,95565,95.565,94285,94.285
355,6.826923077,95505,95.505,94231,94.231
356,6.846153846,95457,95.457,94148,94.148
357,6.865384615,95403,95.403,94091,94.091
358,6.884615385,95344,95.344,94023,94.023
359,6.903846154,95277,95.277,93974,93.974
360,6.923076923,95224,95.224,93914,93.914
361,6.942307692,95165,95.165,93856,93.856
362,6.961538462,95086,95.086,93786,93.786
363,6.980769231,95041,95.041,93716,93.716
364,7,94968,94.968,93640,93.64
365,7.019230769,94932,94.932,93577,93.577
366,7.038461538,94859,94.859,93516,93.516
367,7.057692308,94814,94.814,93431,93.431
368,7.076923077,94752,94.752,93374,93.374
369,7.096153846,94700,94.7,93298,93.298
370,7.115384615,94622,94.622,93236,93.236
371,7.134615385,94553,94.553,93138,93.138
372,7.153846154,94490,94.49,93066,93.066
373,7.173076923,94416,94.416,92985,92.985
374,7.192307692,94346,94.346,92923,92.923
375,7.211538462,94251,94.251,92831,92.831
376,7.230769231,94196,94.196,92752,92.752
377,7.25,94117,94.117,92638,92.638
378,7.269230769,94062,94.062,92539,92.539
379,7.288461538,93993,93.993,92426,92.426
380,7.307692308,93936,93.936,92324,92.324
381,7.326923077,93851,93.851,92209,92.209
382,7.346153846,93775,93.775,92119,92.119
383,7.365384615,93695,93.695,92015,92.015
384,7.384615385,93621,93.621,91899,91.899
385,7.403846154,93552,93.552,91786,91.786
386,7.423076923,93485,93.485,91653,91.653
387,7.442307692,93420,93.42,91538,91.538
388,7.461538462,93332,93.332,91387,91.387
389,7.480769231,93283,93.283,91304,91.304
390,7.5,93208,93.208,91153,91.153
391,7.519230769,93142,93.142,91061,91.061
392,7.538461538,93038,93.038,90875,90.875
393,7.557692308,92974,92.974,90761,90.761
394,7.576923077,92892,92.892,90604,90.604
395,7.596153846,92814,92.814,90472,90.472
396,7.615384615,92717,92.717,90283,90.283
397,7.634615385,92628,92.628,90078,90.078
398,7.653846154,92554,92.554,89925,89.925
399,7.673076923,92490,92.49,89727,89.727
400,7.692307692,92400,92.4,89583,89.583
401,7.711538462,92305,92.305,89350,89.35
402,7.730769231,92216,92.216,89223,89.223
403,7.75,92137,92.137,88959,88.959
404,7.769230769,92034,92.034,88821,88.821
405,7.788461538,91959,91.959,88557,88.557
406,7.807692308,91874,91.874,88336,88.336
407,7.826923077,91758,91.758,88088,88.088
408,7.846153846,91669,91.669,87880,87.88
409,7.865384615,91542,91.542,87625,87.625
410,7.884615385,91448,91.448,87327,87.327
411,7.903846154,91295,91.295,87136,87.136
412,7.923076923,91205,91.205,86839,86.839
413,7.942307692,91056,91.056,86668,86.668
414,7.961538462,90959,90.959,86322,86.322
415,7.980769231,90820,90.82,86151,86.151
416,8,90692,90.692,85861,85.861
417,8.019230769,90554,90.554,85686,85.686
418,8.038461538,90366,90.366,85353,85.353
419,8.057692308,90231,90.231,85126,85.126
420,8.076923077,90074,90.074,84847,84.847
421,8.096153846,89928,89.928,84570,84.57
422,8.115384615,89710,89.71,84334,84.334
423,8.134615385,89579,89.579,84036,84.036
424,8.153846154,89355,89.355,83819,83.819
425,8.173076923,89236,89.236,83477,83.477
426,8.192307692,89012,89.012,83268,83.268
427,8.211538462,88849,88.849,82910,82.91
428,8.230769231,88641,88.641,82693,82.693
429,8.25,88488,88.488,82367,82.367
430,8.269230769,88248,88.248,82145,82.145
431,8.288461538,88046,88.046,81829,81.829
432,8.307692308,87857,87.857,81575,81.575
433,8.326923077,87616,87.616,81342,81.342
434,8.346153846,87409,87.409,81057,81.057
435,8.365384615,87093,87.093,80777,80.777
436,8.384615385,86932,86.932,80450,80.45
437,8.403846154,86636,86.636,80233,80.233
438,8.423076923,86463,86.463,79928,79.928
439,8.442307692,86137,86.137,79724,79.724
440,8.461538462,85935,85.935,79390,79.39
441,8.480769231,85650,85.65,79164,79.164
442,8.5,85422,85.422,78842,78.842
443,8.519230769,85138,85.138,78585,78.585
444,8.538461538,84824,84.824,78259,78.259
445,8.557692308,84605,84.605,77993,77.993
446,8.576923077,84309,84.309,77713,77.713
447,8.596153846,84088,84.088,77418,77.418
448,8.615384615,83725,83.725,77104,77.104
449,8.634615385,83522,83.522,76823,76.823
450,8.653846154,83174,83.174,76578,76.578
451,8.673076923,82968,82.968,76294,76.294
