Week #,Year,Without Bonus,% Without Bonus,With Bonus,% With Bonus
0,0,100000,100,100000,100
1,0.01923076923,99992,99.992,99989,99.989
2,0.03846153846,99982,99.982,99982,99.982
3,0.05769230769,99972,99.972,99970,99.97
4,0.07692307692,99961,99.961,99956,99.956
5,0.09615384615,99951,99.951,99946,99.946
6,0.1153846154,99941,99.941,99933,99.933
7,0.1346153846,99932,99.932,99921,99.921
8,0.1538461538,99923,99.923,99907,99.907
9,0.1730769231,99914,99.914,99898,99.898
10,0.1923076923,99905,99.905,99886,99.886
11,0.2115384615,99894,99.894,99875,99.875
12,0.2307692308,99886,99.886,99864,99.864
13,0.25,99878,99.878,99850,99.85
14,0.2692307692,99864,99.864,99843,99.843
15,0.2884615385,99856,99.856,99835,99.835
16,0.3076923077,99841,99.841,99826,99.826
17,0.3269230769,99831,99.831,99813,99.813
18,0.3461538462,99823,99.823,99798,99.798
19,0.3653846154,99812,99.812,99790,99.79
20,0.3846153846,99803,99.803,99780,99.78
21,0.4038461538,99792,99.792,99763,99.763
22,0.4230769231,99784,99.784,99750,99.75
23,0.4423076923,99776,99.776,99732,99.732
24,0.4615384615,99758,99.758,99720,99.72
25,0.4807692308,99750,99.75,99708,99.708
26,0.5,99740,99.74,99702,99.702
27,0.5192307692,99731,99.731,99693,99.693
28,0.5384615385,99723,99.723,99684,99.684
29,0.5576923077,99712,99.712,99678,99.678
30,0.5769230769,99699,99.699,99669,99.669
31,0.5961538462,99687,99.687,99658,99.658
32,0.6153846154,99682,99.682,99642,99.642
33,0.6346153846,99670,99.67,99634,99.634
34,0.6538461538,99661,99.661,99627,99.627
35,0.6730769231,99651,99.651,99619,99.619
36,0.6923076923,99639,99.639,99611,99.611
37,0.7115384615,99628,99.628,99600,99.6
38,0.7307692308,99614,99.614,99593,99.593
39,0.75,99599,99.599,99583,99.583
40,0.7692307692,99584,99.584,99572,99.572
41,0.7884615385,99576,99.576,99559,99.559
42,0.8076923077,99560,99.56,99544,99.544
43,0.8269230769,99545,99.545,99534,99.534
44,0.8461538462,99537,99.537,99524,99.524
45,0.8653846154,99525,99.525,99512,99.512
46,0.8846153846,99515,99.515,99501,99.501
47,0.9038461538,99508,99.508,99490,99.49
48,0.9230769231,99496,99.496,99477,99.477
49,0.9423076923,99488,99.488,99463,99.463
50,0.9615384615,99479,99.479,99446,99.446
51,0.9807692308,99466,99.466,99432,99.432
52,1,99455,99.455,99422,99.422
53,1.019230769,99447,99.447,99412,99.412
54,1.038461538,99436,99.436,99400,99.4
55,1.057692308,99424,99.424,99384,99.384
56,1.076923077,99407,99.407,99367,99.367
57,1.096153846,99395,99.395,99353,99.353
58,1.115384615,99386,99.386,99342,99.342
59,1.134615385,99378,99.378,99323,99.323
60,1.153846154,99366,99.366,99312,99.312
61,1.173076923,99357,99.357,99306,99.306
62,1.192307692,99346,99.346,99287,99.287
63,1.211538462,99333,99.333,99268,99.268
64,1.230769231,99313,99.313,99255,99.255
65,1.25,99299,99.299,99238,99.238
66,1.269230769,99285,99.285,99214,99.214
67,1.288461538,99268,99.268,99188,99.188
68,1.307692308,99258,99.258,99158,99.158
69,1.326923077,99238,99.238,99141,99.141
70,1.346153846,99212,99.212,99112,99.112
71,1.365384615,99192,99.192,99087,99.087
72,1.384615385,99174,99.174,99066,99.066
73,1.403846154,99141,99.141,99037,99.037
74,1.423076923,99129,99.129,98983,98.983
75,1.442307692,99106,99.106,98954,98.954
76,1.461538462,99078,99.078,98907,98.907
77,1.480769231,99056,99.056,98842,98.842
78,1.5,99028,99.028,98799,98.799
79,1.519230769,98984,98.984,98752,98.752
80,1.538461538,98947,98.947,98670,98.67
81,1.557692308,98912,98.912,98599,98.599
82,1.576923077,98863,98.863,98526,98.526
83,1.596153846,98817,98.817,98435,98.435
84,1.615384615,98756,98.756,98367,98.367
85,1.634615385,98679,98.679,98288,98.288
86,1.653846154,98631,98.631,98167,98.167
87,1.673076923,98563,98.563,98087,98.087
88,1.692307692,98468,98.468,97950,97.95
89,1.711538462,98402,98.402,97787,97.787
90,1.730769231,98323,98.323,97693,97.693
91,1.75,98213,98.213,97526,97.526
92,1.769230769,98108,98.108,97341,97.341
93,1.788461538,98020,98.02,97228,97.228
94,1.807692308,97892,97.892,97009,97.009
95,1.826923077,97782,97.782,96767,96.767
96,1.846153846,97647,97.647,96614,96.614
97,1.865384615,97452,97.452,96367,96.367
98,1.884615385,97345,97.345,96074,96.074
99,1.903846154,97156,97.156,95886,95.886
100,1.923076923,96951,96.951,95584,95.584
101,1.942307692,96807,96.807,95223,95.223
102,1.961538462,96541,96.541,94983,94.983
103,1.980769231,96258,96.258,94573,94.573
104,2,96072,96.072,94085,94.085
105,2.019230769,95730,95.73,93816,93.816
106,2.038461538,95379,95.379,93253,93.253
107,2.057692308,95175,95.175,92622,92.622
108,2.076923077,94779,94.779,92303,92.303
